구분	메서드	URL	인증	설명
Auth	POST	/signup	X	회원가입
Auth	POST	/login	X	로그인(AT + RT 쿠키)
Auth	POST	/logout	O	로그아웃
Auth	POST	/reissue	RT 쿠키	토큰 재발급
Posts	POST	/api/posts	O	게시글 생성
Posts	GET	/api/posts	X	전체 게시글 조회
Posts	GET	/api/posts/{id}	X	상세 조회
Posts	PATCH	/api/posts/{id}	O	게시글 수정
Posts	DELETE	/api/posts/{id}	O	게시글 삭제
Comments	GET	/api/posts/{id}/comments	X	댓글 전체 조회
Comments	POST	/api/posts/{id}/comments	O	댓글 작성
Comments	DELETE	/api/comments/{id}	O	댓글 삭제
Likes	POST	/api/posts/{id}/like	O	좋아요 토글
ChatRoom	POST	/chat/room/1on1	O	1:1 채팅방 생성/찾기
ChatRoom	GET	/chat/rooms	O	내 채팅방 목록
ChatRoom	GET	/chat/room/{id}/messages	O	채팅 메시지 조회
WebSocket	/app/chat/send	O	메시지 전송	
WebSocket	/topic/room/{id}	-	메시지 브로드캐스트	
